Tweets,Sentiment_Score,Relative_Time,Continent_Code,Reach
world s richest man elon musk donated 5 7bn to charity in november,2,10,EUR,29
if churches are exempt from paying taxes so should elon musk who does more for this world than any fucking church,2,12,EUR,698
elon musk gifted 5 7 billion worth of tesla stock to charity in the span of 10 days in november it s just one more sign that,2,23,EUR,964
kal afrorock viral campaign for biafrans is trending elon musk you can move mountains with just one tweet of freeb,2,1,EUR,559
feel free to keep your tesla never liked him knew there was something dodgy about him bbc news elon musk s brain chip firm denies animal cruelty claims,0,15,EUR,299
news elon musk gave roughly 5 7 billion in shares to charity last year according to a list of the top charitable giv,2,11,EUR,412
shame elon musk donates 5 7 billion to charity even though the government could have used it to fill 7 potholes ,0,16,EUR,809
why elon musk dropped out of stanford after only two days fortune elonmusk,2,22,EUR,694
tesla ceo elon musk has donated roughly 5 7 billion worth of the electric carmaker s shares to charity,2,14,EUR,222
elonmusk reported that he gifted almost 6 billion worth of tesla inc shares to charity in november,2,5,EUR,678
elon musk s brain chip firm denies animal cruelty claims,2,18,EUR,970
where the presave link for elon musk,2,19,EUR,146
elon musk unloaded 22 billion of tesla stock and still owns more now than a year ago,2,6,EUR,710
i wish elon musk would just buy canada already,2,4,EUR,397
did elon musk put his money where his mouth is,2,1,EUR,60
elon musk and david letterman discussing electric cars in 2009,2,5,EUR,985
elon musk donated over 5 billion worth of tesla stock to unnamed charity last year,2,9,EUR,939
elon musk reportedly donated 5 million tsla shares to charity in november 2021,2,14,EUR,141
just another guy used to being the smartest person in the room until elon musk walks in,2,3,EUR,107
elon musk owned neuralink s test monkeys were tortured group claims a man of such immense wealth inflicting cruelty on a,0,12,EUR,377
elon musk is now following,2,13,EUR,9
elon musk donated 5 7 billion of tsla shares to charity maybe you should focus on this news rather than the,2,3,EUR,123
india s richest billionaires are fast catching up while elonmusk struggles for satellite broadband licence mukeshambani re,2,0,EUR,18
elon musk gave 5 7 bil in tesla stock to charity at the end of last year the 2nd largest donation in america during 2,2,1,EUR,2
they dont need to because they already have elon musk an influencer in this case advertising all the time i bet that if elon wasnt there for tesla then you would see as much tesla ads as you see other companies pump out ads,2,21,EUR,1
tsla elon musk gifted 5 7 billion worth of tesla stock to charity in the span of 10 days in november it s just one more sign that the world s richest person is taking philanthropy more seriously,4,2,EUR,34
california is suing elon musk s tesla alleging it runs a racially segregated workplace and discriminates against black emplo,2,21,NAM,59
ban elon musk and the racist rocket he flew in on,0,20,NAM,97
new elon musk gives 5 million tesla shares to unspecified charities,2,6,NAM,65
no my point is that elon musk is throwing himself company under the bus car mfg get it if the story is true blatant racism is never a good look and his the company should suffer major consequences perhaps i left too open for consideration,0,8,NAM,16
elon musk is literally a real life super villain,0,21,NAM,12993
duhhh michael bury went out and sold all his stock and bought lmt as his only holding 3 months ago who else knew elon musk and jeff bezos and the other billionaire s sold out,2,7,NAM,94
after elon musk announcement of autopilot,2,20,NAM,7
how bad is your life that you need elon musk to invent something to make it better,2,21,NAM,11698
i think that she is suffering from elon musk syndrome where she has an inflated view of her own importance to society,2,13,NAM,568
825 studying elon musk amp the founders of paypal w jimmy soni,2,5,NAM,698
hey what could possibly go wrong,2,1,NAM,589
15 out of 23 monkeys implanted with elon musk s neuralink brain chips have reportedly died ,2,12,NAM,456
elon musk is so handsome,4,24,NAM,569
after years of government support its most profitable year ever but it won t contribute a dime in federal taxes,2,18,NAM,26
elon musk bought 4 4 trillion bitcoin bitcoin,2,7,NAM,55
volvo just aired their ev ad which they paid 7 million to have played during the super bowl bold strategy to take dig,2,21,NAM,91
elon musk is a billionaire today because of a huge bailout made with your u s tax dollars,2,13,NAM,76
trending on lunarcrush elon musk hints at the integration of dogecoin into starlink via io top coin mentions doge,2,15,NAM,92
torturing monkeys for junk science is never okay peta challenges musk to behave like a true pioneer and have the wireless implant put into his own brain instead,0,8,NAM,5006
elon musk is living stress free knowing he doesnt have to pay for superbowl advertising while all the other car brands,2,5,NAM,34
like elon musk,4,4,NAM,77
but please tell us more about why elon musk was named person of the year kinda makes time look bad and in a year filled with true heroes like eugene goodman capitol hill police nurses doctors essential workers biden,0,16,NAM,7
elon musk was born in africa i hope i never see you attack him for being white,2,14,NAM,10
elon musk s red tesla roadster in space high quality aprints digital painting from the cool sp,2,13,NAM,33
the people who hate on elon musk in the comments are super low iq not that he is a good guy either,0,22,NAM,25
in 2021 tesla recorded net income of 5 5 billion and adjusted income of 7 6 billion yet tesla s state tax bill was only 9 million and its federal tax bill was zero that defies common sense but it does not defy the us tax code,2,17,NAM,57
